,stars,url,forks,language,size,subscribers,network,issues,watchers,pulls,commits,private,license
284,25905,https://github.com/apache/airflow.git,10540,Python,166960,740,10540,957,25905,146,16127,False,Apache License 2.0
285,25802,https://github.com/tabler/tabler.git,2944,HTML,76933,610,2944,62,25802,7,1946,False,MIT License
286,25782,https://github.com/VincentGarreau/particles.js.git,4570,JavaScript,158,567,4570,338,25782,50,235,False,MIT License
287,25704,https://github.com/JakeWharton/butterknife.git,4713,Java,3909,1075,4713,114,25704,18,1016,False,Apache License 2.0
288,25623,https://github.com/xkcoding/spring-boot-demo.git,9057,Java,13868,987,9057,96,25623,27,733,False,MIT License
289,25527,https://github.com/alibaba/druid.git,8119,Java,65855,1764,8119,2351,25527,142,6569,False,Apache License 2.0
290,25473,https://github.com/request/request.git,3161,JavaScript,2290,441,3161,86,25473,27,2270,False,Apache License 2.0
291,25370,https://github.com/angular/angular-cli.git,12151,TypeScript,98052,1054,12151,262,25370,23,9197,False,MIT License
292,25442,https://github.com/danielgindi/Charts.git,5255,Swift,181683,606,5255,838,25442,84,1739,False,Apache License 2.0
293,25314,https://github.com/geekcomputers/Python.git,10874,Python,31028,2485,10874,237,25314,80,2670,False,MIT License
294,25302,https://github.com/github/fetch.git,3128,JavaScript,530,628,3128,25,25302,8,654,False,MIT License
295,25298,https://github.com/select2/select2.git,6318,JavaScript,12552,739,6318,67,25298,15,2635,False,MIT License
296,25228,https://github.com/transloadit/uppy.git,1685,JavaScript,359027,334,1685,115,25228,23,8771,False,MIT License
297,25220,https://github.com/proxyee-down-org/proxyee-down.git,4593,Java,26860,976,4593,212,25220,1,474,False,Apache License 2.0
298,25235,https://github.com/mobxjs/mobx.git,1678,TypeScript,18520,373,1678,21,25235,8,3123,False,MIT License
299,25224,https://github.com/Modernizr/Modernizr.git,3046,JavaScript,20352,934,3046,186,25224,23,2600,False,MIT License
300,25134,https://github.com/facebookresearch/Detectron.git,5451,Python,4483,966,5451,323,25134,22,141,False,Apache License 2.0
301,25061,https://github.com/cheeriojs/cheerio.git,1538,TypeScript,7298,370,1538,10,25061,0,1952,False,MIT License
302,24983,https://github.com/halfrost/LeetCode-Go.git,4618,Go,19051,584,4618,17,24983,6,1279,False,MIT License
303,24933,https://github.com/codemirror/CodeMirror.git,4896,JavaScript,18454,651,4896,444,24933,25,7059,False,MIT License
304,24841,https://github.com/SortableJS/Sortable.git,3481,JavaScript,2759,416,3481,365,24841,13,1078,False,MIT License
305,24746,https://github.com/hashicorp/consul.git,4066,Go,378841,975,4066,1115,24746,159,17347,False,Mozilla Public License 2.0
306,24731,https://github.com/microsoft/calculator.git,4461,C++,35518,568,4461,267,24731,9,729,False,MIT License
307,24694,https://github.com/GitbookIO/gitbook.git,3677,JavaScript,8666,740,3677,1010,24694,63,2377,False,Apache License 2.0
308,24649,https://github.com/nylas/nylas-mail.git,1466,JavaScript,87026,478,1466,1014,24649,29,6116,False,MIT License
309,24625,https://github.com/pcottle/learnGitBranching.git,5266,JavaScript,33898,524,5266,13,24625,2,2665,False,MIT License
310,24580,https://github.com/GoogleChrome/lighthouse.git,8565,JavaScript,135428,562,8565,593,24580,65,5237,False,Apache License 2.0
311,24592,https://github.com/JedWatson/react-select.git,3902,TypeScript,18560,230,3902,230,24592,58,4068,False,MIT License
312,24437,https://github.com/ccxt/ccxt.git,5999,JavaScript,1969403,926,5999,752,24437,189,53404,False,MIT License
313,24416,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers.git,7582,Jupyter Notebook,147548,1411,7582,189,24416,44,1094,False,MIT License
314,24352,https://github.com/ianstormtaylor/slate.git,2752,TypeScript,19526,306,2752,499,24352,20,3853,False,MIT License
315,24279,https://github.com/Automattic/mongoose.git,3463,JavaScript,84379,492,3463,321,24279,15,16273,False,MIT License
316,24313,https://github.com/parallax/jsPDF.git,4296,JavaScript,106341,483,4296,119,24313,13,2266,False,MIT License
317,24231,https://github.com/rstacruz/nprogress.git,1833,JavaScript,722,416,1833,127,24231,34,209,False,MIT License
318,24220,https://github.com/nektos/act.git,636,Go,5900,106,636,76,24220,15,604,False,MIT License
319,24184,https://github.com/YMFE/yapi.git,4279,JavaScript,232001,517,4279,1442,24184,46,5801,False,Apache License 2.0
320,24306,https://github.com/rust-lang/rustlings.git,3892,Rust,1393,278,3892,110,24306,36,1132,False,MIT License
321,24102,https://github.com/johnpapa/angular-styleguide.git,4312,None,4140,1373,4312,80,24102,17,1136,False,MIT License
322,24098,https://github.com/hashicorp/vault.git,3350,Go,201048,802,3350,1186,24098,327,15136,False,Mozilla Public License 2.0
323,24091,https://github.com/Binaryify/NeteaseCloudMusicApi.git,8427,JavaScript,15104,355,8427,107,24091,12,1178,False,MIT License
324,23963,https://github.com/remy/nodemon.git,1590,JavaScript,2370,267,1590,50,23963,8,1231,False,MIT License
325,23941,https://github.com/greenrobot/EventBus.git,4657,Java,1734,1081,4657,144,23941,40,549,False,Apache License 2.0
326,23965,https://github.com/ycm-core/YouCompleteMe.git,2763,Python,37490,577,2763,11,23965,4,2918,False,GNU General Public License v3.0
327,23920,https://github.com/kubernetes/minikube.git,4105,Go,195394,480,4105,673,23920,57,18908,False,Apache License 2.0
328,23898,https://github.com/nagadomi/waifu2x.git,2574,Lua,709480,748,2574,140,23898,3,746,False,MIT License
329,23770,https://github.com/hashicorp/vagrant.git,4258,Ruby,73199,746,4258,700,23770,95,14137,False,MIT License
330,23703,https://github.com/ClickHouse/ClickHouse.git,4735,C++,721606,673,4735,2247,23703,230,88815,False,Apache License 2.0
331,23718,https://github.com/yunjey/pytorch-tutorial.git,7226,Python,13110,615,7226,85,23718,22,173,False,MIT License
332,23730,https://github.com/OAI/OpenAPI-Specification.git,8279,JavaScript,3336,865,8279,500,23730,30,1934,False,Apache License 2.0
333,23612,https://github.com/akveo/ngx-admin.git,7561,TypeScript,66880,902,7561,451,23612,64,539,False,MIT License
334,23609,https://github.com/facebookresearch/fastText.git,4466,HTML,8461,856,4466,497,23609,81,381,False,MIT License
335,23616,https://github.com/bvaughn/react-virtualized.git,2979,JavaScript,48200,251,2979,463,23616,59,1986,False,MIT License
336,23557,https://github.com/scwang90/SmartRefreshLayout.git,4829,Java,273235,521,4829,237,23557,4,1093,False,Apache License 2.0
337,23523,https://github.com/cmderdev/cmder.git,1943,C++,2748,574,1943,8,23523,1,1359,False,MIT License
338,23477,https://github.com/influxdata/influxdb.git,3176,Go,163963,748,3176,1490,23477,59,35113,False,MIT License
339,23377,https://github.com/SeleniumHQ/selenium.git,6930,Java,1947979,1314,6930,110,23377,25,28235,False,Apache License 2.0
340,23340,https://github.com/google-research/google-research.git,5678,Jupyter Notebook,343171,701,5678,662,23340,140,3187,False,Apache License 2.0
341,23148,https://github.com/firstcontributions/first-contributions.git,44558,None,86037,461,44558,1880,23148,1837,41000,False,MIT License
342,23102,https://github.com/pmndrs/react-spring.git,1012,TypeScript,474553,198,1012,55,23102,4,3255,False,MIT License
343,23038,https://github.com/go-kit/kit.git,2308,Go,7392,690,2308,43,23038,8,1520,False,MIT License
344,23018,https://github.com/VundleVim/Vundle.vim.git,2556,Vim script,935,710,2556,206,23018,47,629,False,MIT License
345,23013,https://github.com/hammerjs/hammer.js.git,2664,JavaScript,10221,542,2664,310,23013,36,1199,False,MIT License
346,22985,https://github.com/cfenollosa/os-tutorial.git,2871,C,154,824,2871,102,22985,45,147,False,"BSD 3-Clause ""New"" or ""Revised"" License"
347,22959,https://github.com/alibaba/canal.git,6753,Java,18743,1207,6753,829,22959,41,1495,False,Apache License 2.0
348,22952,https://github.com/pypa/pipenv.git,1742,Python,246920,367,1742,448,22952,28,7425,False,MIT License
349,22999,https://github.com/dokku/dokku.git,1740,Shell,12391,365,1740,50,22999,2,7707,False,MIT License
350,22931,https://github.com/balena-io/etcher.git,1658,TypeScript,92371,434,1658,368,22931,5,2985,False,Apache License 2.0
351,22836,https://github.com/mbeaudru/modern-js-cheatsheet.git,2529,None,333,631,2529,8,22836,0,160,False,MIT License
352,22840,https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,4889,Java,64860,570,4889,487,22840,15,1210,False,MIT License
353,22815,https://github.com/immerjs/immer.git,731,JavaScript,4927,160,731,38,22815,18,1251,False,MIT License
354,22694,https://github.com/airbnb/lottie-ios.git,3339,Swift,91742,479,3339,296,22694,2,1023,False,Apache License 2.0
355,22689,https://github.com/angular/components.git,6138,TypeScript,85598,950,6138,1823,22689,131,9664,False,MIT License
356,22703,https://github.com/sickcodes/Docker-OSX.git,1083,Shell,13534,307,1083,170,22703,5,423,False,GNU General Public License v3.0
357,22669,https://github.com/jesseduffield/lazydocker.git,854,Go,25325,222,854,82,22669,5,615,False,MIT License
358,22691,https://github.com/tj/commander.js.git,1621,JavaScript,2710,239,1621,4,22691,1,1146,False,MIT License
359,22613,https://github.com/dmlc/xgboost.git,8380,C++,22711,932,8380,278,22613,41,5780,False,Apache License 2.0
360,22606,https://github.com/doczjs/docz.git,1454,TypeScript,10173,180,1454,117,22606,10,1605,False,MIT License
361,22563,https://github.com/facebook/rocksdb.git,5170,C++,182769,1001,5170,685,22563,263,11023,False,Other
362,22456,https://github.com/alibaba/nacos.git,9828,Java,44996,877,9828,603,22456,35,4066,False,Apache License 2.0
363,22420,https://github.com/heartcombo/devise.git,5403,Ruby,5543,477,5403,202,22420,62,3778,False,MIT License
364,22389,https://github.com/signalapp/Signal-Android.git,5449,Java,600254,919,5449,284,22389,27,9865,False,GNU General Public License v3.0
365,22399,https://github.com/vuejs/devtools.git,3809,TypeScript,14054,508,3809,403,22399,28,1997,False,MIT License
366,22364,https://github.com/vercel/swr.git,851,TypeScript,2918,178,851,81,22364,12,627,False,MIT License
367,22346,https://github.com/react-native-elements/react-native-elements.git,4421,TypeScript,118621,380,4421,36,22346,6,2309,False,MIT License
368,22332,https://github.com/alibaba/spring-cloud-alibaba.git,6938,Java,7325,980,6938,387,22332,21,1916,False,Apache License 2.0
369,22321,https://github.com/halo-dev/halo.git,7547,Java,45375,457,7547,124,22321,6,2148,False,GNU General Public License v3.0
370,22320,https://github.com/kataras/iris.git,2392,Go,14831,703,2392,73,22320,0,2403,False,"BSD 3-Clause ""New"" or ""Revised"" License"
371,22269,https://github.com/fastai/fastai.git,7231,Jupyter Notebook,777928,624,7231,110,22269,12,2261,False,Apache License 2.0
372,22254,https://github.com/files-community/Files.git,1292,C#,127970,329,1292,771,22254,16,3491,False,MIT License
373,22265,https://github.com/lovell/sharp.git,1118,JavaScript,47222,227,1118,102,22265,1,1627,False,Apache License 2.0
374,22235,https://github.com/balderdashy/sails.git,1959,JavaScript,13131,661,1959,531,22235,70,7146,False,MIT License
375,22189,https://github.com/emberjs/ember.js.git,4286,JavaScript,74228,900,4286,426,22189,73,21438,False,MIT License
376,22115,https://github.com/seata/seata.git,7727,Java,11472,875,7727,700,22115,113,1462,False,Apache License 2.0
377,22109,https://github.com/reduxjs/react-redux.git,3228,TypeScript,7177,426,3228,21,22109,4,1098,False,MIT License
378,22072,https://github.com/swc-project/swc.git,704,Rust,146908,141,704,250,22072,16,4085,False,Apache License 2.0
379,22041,https://github.com/swagger-api/swagger-ui.git,8316,JavaScript,416619,658,8316,767,22041,47,5412,False,Apache License 2.0
380,21998,https://github.com/t4t5/sweetalert.git,2908,TypeScript,4208,462,2908,181,21998,29,363,False,MIT License
381,21976,https://github.com/ramda/ramda.git,1412,JavaScript,8131,274,1412,126,21976,19,2980,False,MIT License
382,21939,https://github.com/apache/kafka.git,11483,Java,141098,1076,11483,965,21939,965,10016,False,Other
383,22013,https://github.com/sampotts/plyr.git,2639,JavaScript,65455,413,2639,747,22013,25,2248,False,MIT License
384,21864,https://github.com/facebook/folly.git,4630,C++,41227,1030,4630,383,21864,71,10736,False,Apache License 2.0
385,21826,https://github.com/guzzle/guzzle.git,2299,PHP,9823,463,2299,30,21826,10,3603,False,MIT License
386,21835,https://github.com/dimsemenov/PhotoSwipe.git,3288,JavaScript,29975,552,3288,569,21835,0,593,False,MIT License
